"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
65,188,"RUS","Russia",65,"Stavropol'","RU.ST",NA,"0","Kray","Territory","<U+0421><U+0442><U+0430><U+0432><U+0440><U+043E><U+043F><U+043E><U+043B><U+044C><U+0441><U+043A><U+0438><U+0439> <U+043A><U+0440><U+0430><U+0439>","Stavropol'skiy Kray|Stavropolskiy Kray"
66,188,"RUS","Russia",66,"Sverdlovsk","RU.SV",NA,"","Oblast","Region","<U+0421><U+0432><U+0435><U+0440><U+0434><U+043B><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Yekaterinburg|Sverdlovskaya Oblast"
67,188,"RUS","Russia",66,"Sverdlovsk","RU.SV",NA,"<Null>","Oblast","Region","<U+0421><U+0432><U+0435><U+0440><U+0434><U+043B><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Yekaterinburg|Sverdlovskaya Oblast"
68,188,"RUS","Russia",66,"Sverdlovsk","RU.SV",NA,"0","Oblast","Region","<U+0421><U+0432><U+0435><U+0440><U+0434><U+043B><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Yekaterinburg|Sverdlovskaya Oblast"
69,188,"RUS","Russia",67,"Tambov","RU.TB",NA,"0","Oblast","Region","<U+0422><U+0430><U+043C><U+0431><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Tambovskaya Oblast"
70,188,"RUS","Russia",68,"Tatarstan","RU.TT",NA,"0","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0422><U+0430><U+0442><U+0430><U+0440><U+0441><U+0442><U+0430><U+043D>","Kazan|Kazanskaya G.|Tatar A.S.S.R.|Tatarskaya A.S.S.R.|Republic of Tatarstan|Respublika Tatars"
71,188,"RUS","Russia",69,"Tomsk","RU.TO",NA,"0","Oblast","Region","<U+0422><U+043E><U+043C><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Tomskaya Oblast"
72,188,"RUS","Russia",70,"Tula","RU.TL",NA,"0","Oblast","Region","<U+0422><U+0443><U+043B><U+044C><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Tul'skaya|Tulskaya Oblast"
73,188,"RUS","Russia",71,"Tuva","RU.TU",NA,"0","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0422><U+044B><U+0432><U+0430>","Respublika Tyva|Republic of Tuva|Tyva|Tuvinskaya A.S.S.R.|Republic of Tyva"
74,188,"RUS","Russia",72,"Tver'","RU.TV",NA,"0","Oblast","Region","<U+0422><U+0432><U+0435><U+0440><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Kalinin|Kalininskaya|Tverskaya Oblast"
75,188,"RUS","Russia",73,"Tyumen'","RU.TY",NA,"0","Oblast","Region","<U+0422><U+044E><U+043C><U+0435><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Tobol'sk|Tobol'skaya G.|Tyumenskaya Oblast"
76,188,"RUS","Russia",74,"Udmurt","RU.UD",NA,"0","Respublika","Republic","<U+0423><U+0434><U+043C><U+0443><U+0440><U+0442><U+0441><U+043A><U+0430><U+044F> <U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430>","Udmurtiya|Udmurt Republic|Udmurtskaya A.S.S.R.|Udmurtskaya Respublika"
77,188,"RUS","Russia",75,"Ul'yanovsk","RU.UL",NA,"0","Oblast","Region","<U+0423><U+043B><U+044C><U+044F><U+043D><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Simbirsk|Simbirskaya G.|Ul'yanovskaya Oblast"
78,188,"RUS","Russia",76,"Vladimir","RU.VL",NA,"0","Oblast","Region","<U+0412><U+043B><U+0430><U+0434><U+0438><U+043C><U+0438><U+0440><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Vladimirskaya Oblast"
79,188,"RUS","Russia",77,"Volgograd","RU.VG",NA,"0","Oblast","Region","<U+0412><U+043E><U+043B><U+0433><U+043E><U+0433><U+0440><U+0430><U+0434><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Stalingrad|Volgogradskaya Oblast"
80,188,"RUS","Russia",78,"Vologda","RU.VO",NA,"0","Oblast","Region","<U+0412><U+043E><U+043B><U+043E><U+0433><U+043E><U+0434><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Vologodskaya Oblast"
81,188,"RUS","Russia",79,"Voronezh","RU.VR",NA,"0","Oblast","Region","<U+0412><U+043E><U+0440><U+043E><U+043D><U+0435><U+0436><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Voronezhskaya Oblast"
82,188,"RUS","Russia",80,"Yamal-Nenets","RU.YN",NA,"0","Avtonomnyy Okrug","Autonomous Province","<U+042F><U+043C><U+0430><U+043B><U+043E>-<U+041D><U+0435><U+043D><U+0435><U+0446><U+043A><U+0438><U+0439> <U+0410><U+041E><U+043A>","Yamalo-Nenetskiy A. Okrug"
