"","Cnt","gdp_growth","year"
"191","Mali",0.350904792547226,2000
"192","Mali",8.89292335510254,2001
"193","Mali",1.09174978733063,2002
"194","Mali",4.21352910995483,2003
"195","Mali",-0.93311995267868,2004
"196","Mali",2.80781722068787,2005
"197","Mali",5.19302272796631,2006
"198","Mali",1.01912355422974,2007
"199","Mali",1.68118524551392,2008
"200","Mali",1.21416652202606,2009
"201","Mauritania",-3.38488698005676,2000
"202","Mauritania",-1.03560364246368,2001
"203","Mauritania",-2.34485340118408,2002
"204","Mauritania",2.82559657096863,2003
"205","Mauritania",2.64072513580322,2004
"206","Mauritania",5.82659769058228,2005
"207","Mauritania",15.5079889297485,2006
"208","Mauritania",-1.20283782482147,2007
"209","Mauritania",0.70856648683548,2008
"210","Mauritania",-3.83785462379456,2009
"211","Mozambique",-1.55038213729858,2000
"212","Mozambique",8.86046028137207,2001
"213","Mozambique",5.80828237533569,2002
"214","Mozambique",3.07048845291138,2003
"215","Mozambique",5.76144361495972,2004
"216","Mozambique",5.71642398834229,2005
"217","Mozambique",3.47968626022339,2006
"218","Mozambique",4.45574617385864,2007
"219","Mozambique",4.0553560256958,2008
"220","Mozambique",3.6097846031189,2009
"221","Niger",-4.94013977050781,2000
"222","Niger",3.28291201591492,2001
"223","Niger",-0.669104278087616,2002
"224","Niger",1.54703056812286,2003
"225","Niger",-3.48262286186218,2004
"226","Niger",0.735746741294861,2005
"227","Niger",1.96461319923401,2006
"228","Niger",-0.613796412944794,2007
"229","Niger",5.56784868240356,2008
"230","Niger",-4.3788013458252,2009
"231","Rwuanda",1.31863653659821,2000
"232","Rwuanda",4.14820337295532,2001
"233","Rwuanda",10.6370000839233,2002
"234","Rwuanda",-0.0899052023887634,2003
"235","Rwuanda",5.46473407745361,2004
"236","Rwuanda",7.00142335891724,2005
"237","Rwuanda",5.95093202590942,2006
"238","Rwuanda",4.73655366897583,2007
"239","Rwuanda",7.95548963546753,2008
"240","Rwuanda",3.14934587478638,2009
"241","Sao Tome and Principe",0.109654001891613,2000
"242","Sao Tome and Principe",0.200235992670059,2001
"243","Sao Tome and Principe",0.108762629330158,2002
"244","Sao Tome and Principe",4.55806255340576,2003
"245","Sao Tome and Principe",2.20068359375,2004
"246","Sao Tome and Principe",-0.847735524177551,2005
"247","Sao Tome and Principe",2.44356846809387,2006
"248","Sao Tome and Principe",-0.865813314914703,2007
"249","Sao Tome and Principe",5.92199468612671,2008
"250","Sao Tome and Principe",1.02841103076935,2009
"251","Senegal",0.654875457286835,2000
"252","Senegal",1.92028868198395,2001
"253","Senegal",-1.96988117694855,2002
"254","Senegal",3.84976243972778,2003
"255","Senegal",3.03244924545288,2004
"256","Senegal",2.78067660331726,2005
"257","Senegal",-0.299230962991714,2006
"258","Senegal",2.09972763061523,2007
"259","Senegal",0.854549884796143,2008
"260","Senegal",-0.408908158540726,2009
"261","Sierra Leone",3.83646678924561,2000
"262","Sierra Leone",-10.5106353759766,2001
"263","Sierra Leone",20.721586227417,2002
"264","Sierra Leone",4.28281593322754,2003
"265","Sierra Leone",1.76599442958832,2004
"266","Sierra Leone",0.425641804933548,2005
"267","Sierra Leone",2.43411016464233,2006
"268","Sierra Leone",5.34736776351929,2007
"269","Sierra Leone",3.11382460594177,2008
"270","Sierra Leone",1.25413703918457,2009
"271","Somalia",NA,2000
"272","Somalia",NA,2001
"273","Somalia",NA,2002
"274","Somalia",NA,2003
"275","Somalia",NA,2004
"276","Somalia",NA,2005
"277","Somalia",NA,2006
"278","Somalia",NA,2007
"279","Somalia",NA,2008
"280","Somalia",NA,2009
"281","Sudan",3.45355629920959,2000
"282","Sudan",3.559241771698,2001
"283","Sudan",3.46038603782654,2002
"284","Sudan",4.71005392074585,2003
"285","Sudan",0.956708371639252,2004
"286","Sudan",4.4611349105835,2005
"287","Sudan",6.96220302581787,2006
"288","Sudan",8.37782859802246,2007
"289","Sudan",0.132058277726173,2008
"290","Sudan",0.404842257499695,2009
"291","Tanzania",2.35775828361511,2000
"292","Tanzania",3.34723687171936,2001
"293","Tanzania",4.44381332397461,2002
"294","Tanzania",4.11682319641113,2003
"295","Tanzania",4.96624946594238,2004
"296","Tanzania",4.445969581604,2005
"297","Tanzania",3.75531077384949,2006
"298","Tanzania",4.08568239212036,2007
"299","Tanzania",4.31183624267578,2008
"300","Tanzania",2.90315866470337,2009
"301","Togo",-3.30794930458069,2000
"302","Togo",-4.1386775970459,2001
"303","Togo",-3.46401524543762,2002
"304","Togo",2.25453853607178,2003
"305","Togo",-0.508615136146545,2004
"306","Togo",-1.41955506801605,2005
"307","Togo",1.38732814788818,2006
"308","Togo",-0.320993393659592,2007
"309","Togo",-0.381363540887833,2008
"310","Togo",0.866059005260468,2009
"311","Uganda",-0.120481707155704,2000
"312","Uganda",1.77764022350311,2001
"313","Uganda",5.14754819869995,2002
"314","Uganda",2.9226713180542,2003
"315","Uganda",3.23548412322998,2004
"316","Uganda",2.7867124080658,2005
"317","Uganda",7.10628223419189,2006
"318","Uganda",4.82316875457764,2007
"319","Uganda",5.11673927307129,2008
"320","Uganda",3.70847725868225,2009
"321","Zambia",0.833956062793732,2000
"322","Zambia",2.25082015991211,2001
"323","Zambia",0.757360398769379,2002
"324","Zambia",2.53083992004395,2003
"325","Zambia",2.76131677627563,2004
"326","Zambia",2.62866473197937,2005
"327","Zambia",3.43657612800598,2006
"328","Zambia",3.28722429275513,2007
"329","Zambia",3.09478187561035,2008
"330","Zambia",2.99764013290405,2009
